R_fighter;B_fighter;Winner
Adrian Yanez;Gustavo Lopez;Adrian Yanez
Trevin Giles;Roman Dolidze;Trevin Giles
Tai Tuivasa;Harry Hunsucker;Tai Tuivasa
Cheyanne Buys;Montserrat Conejo;Montserrat Conejo
Marion Reneau;Macy Chiasson;Macy Chiasson
Leonardo Santos;Grant Dawson;Grant Dawson
Song Kenan;Max Griffin;Max Griffin
Derek Brunson;Kevin Holland;Derek Brunson
Montel Jackson;Jesse Strader;Montel Jackson
Bruno Silva;JP Buys;Bruno Silva
Manel Kape;Matheus Nicolau;Matheus Nicolau
Misha Cirkunov;Ryan Spann;Ryan Spann
Leon Edwards;Belal Muhammad;
Charles Jourdain;Marcelo Rojo;Charles Jourdain
Eryk Anders;Darren Stewart;
Angela Hill;Ashley Yoder;Angela Hill
Jonathan Martinez;Davey Grant;Davey Grant
Dan Ige;Gavin Tucker;Dan Ige
Nasrat Haqparast;Rafa Garcia;Nasrat Haqparast
Cortney Casey;JJ Aldrich;JJ Aldrich
Matthew Semelsberger;Jason Witt;Matthew Semelsberger
Rani Yahya;Ray Rodriguez;Rani Yahya
Gloria de Paula;Jinh Yu Frey;Jinh Yu Frey
Dominick Cruz;Casey Kenney;Dominick Cruz
Song Yadong;Kyler Phillips;Kyler Phillips
Petr Yan;Aljamain Sterling;Aljamain Sterling
Jan Blachowicz;Israel Adesanya;Jan Blachowicz
Thiago Santos;Aleksandar Rakic;Aleksandar Rakic
Joseph Benavidez;Askar Askarov;Askar Askarov
Amanda Nunes;Megan Anderson;Amanda Nunes
Islam Makhachev;Drew Dober;Islam Makhachev
Tim Elliott;Jordan Espinosa;Tim Elliott
Livinha Souza;Amanda Lemos;Amanda Lemos
Rogerio Bontorin;Kai Kara-France;Kai Kara-France
Uros Medic;Aalon Cruz;Uros Medic
Kennedy Nzechukwu;Carlos Ulberg;Kennedy Nzechukwu
Sean Brady;Jake Matthews;Sean Brady
Mario Bautista;Trevin Jones;Trevin Jones
Jairzinho Rozenstruik;Ciryl Gane;Ciryl Gane
Montana De La Rosa;Mayra Bueno Silva;
Vince Cachero;Ronnie Lawrence;Ronnie Lawrence
Alexander Hernandez;Thiago Moises;Thiago Moises
Pedro Munhoz;Jimmie Rivera;Pedro Munhoz
Alex Caceres;Kevin Croom;Alex Caceres
Alexis Davis;Sabina Mazo;Alexis Davis
Nikita Krylov;Magomed Ankalaev;Magomed Ankalaev
Dustin Jacoby;Maxim Grishin;Dustin Jacoby
Aleksei Oleinik;Chris Daukaus;Chris Daukaus
Charles Rosa;Darrick Minner;Darrick Minner
Phil Hawes;Nassourdine Imavov;Phil Hawes
Curtis Blaydes;Derrick Lewis;Derrick Lewis
Eddie Wineland;John Castaneda;John Castaneda
Andrei Arlovski;Tom Aspinall;Tom Aspinall
Jared Gordon;Danny Chavez;Jared Gordon
Ketlen Vieira;Yana Kunitskaya;Yana Kunitskaya
Aiemann Zahabi;Drako Rodriguez;Aiemann Zahabi
Serghei Spivac;Jared Vanderaa;Serghei Spivac
Nate Landwehr;Julian Erosa;Julian Erosa
Shana Dobson;Casey O'Neill;Casey O'Neill
Maycee Barber;Alexa Grasso;Alexa Grasso
Belal Muhammad;Dhiego Lima;Belal Muhammad
Maki Pitolo;Julian Marquez;Julian Marquez
Kamaru Usman;Gilbert Burns;Kamaru Usman
Ricky Simon;Brian Kelleher;Ricky Simon
